index,key,value
2011-07-16T12:55:38Z,Type 1 Departments - Major A&E,274.093
2011-07-23T13:22:55Z,Type 1 Departments - Major A&E,267.032
2011-07-30T13:50:44Z,Type 1 Departments - Major A&E,269.194
2011-08-06T14:18:33Z,Type 1 Departments - Major A&E,267.399
2011-08-13T14:46:21Z,Type 1 Departments - Major A&E,253.458
2011-08-20T15:13:39Z,Type 1 Departments - Major A&E,253.074
2011-08-27T15:41:27Z,Type 1 Departments - Major A&E,250.09
2011-09-03T16:09:16Z,Type 1 Departments - Major A&E,260.821
2011-09-10T16:37:05Z,Type 1 Departments - Major A&E,260.414
2011-09-17T17:04:22Z,Type 1 Departments - Major A&E,270.874
2011-09-24T17:32:11Z,Type 1 Departments - Major A&E,275.735
2011-10-01T18:00:00Z,Type 1 Departments - Major A&E,288.511
2011-10-08T18:27:49Z,Type 1 Departments - Major A&E,281.814
2011-10-15T18:55:38Z,Type 1 Departments - Major A&E,275.382
2011-10-22T19:22:55Z,Type 1 Departments - Major A&E,263.261
2011-10-29T19:50:44Z,Type 1 Departments - Major A&E,259.704
2011-11-05T20:18:33Z,Type 1 Departments - Major A&E,266.806
2011-11-12T20:46:21Z,Type 1 Departments - Major A&E,262.969
2011-11-19T21:13:39Z,Type 1 Departments - Major A&E,264.091
2011-11-26T21:41:27Z,Type 1 Departments - Major A&E,267.207
2011-12-03T22:09:16Z,Type 1 Departments - Major A&E,261.337
2011-12-10T22:37:05Z,Type 1 Departments - Major A&E,262.788
2011-12-17T23:04:22Z,Type 1 Departments - Major A&E,261.516
2011-12-24T23:32:11Z,Type 1 Departments - Major A&E,241.551
2012-01-01T00:00:00Z,Type 1 Departments - Major A&E,264.152
2012-01-08T00:55:30Z,Type 1 Departments - Major A&E,257.709
2012-01-15T01:51:01Z,Type 1 Departments - Major A&E,250.227
2012-01-22T02:46:00Z,Type 1 Departments - Major A&E,254.178
2012-01-29T03:41:30Z,Type 1 Departments - Major A&E,265.663
2012-02-05T04:37:00Z,Type 1 Departments - Major A&E,253.409
2012-02-12T05:32:31Z,Type 1 Departments - Major A&E,264.1
2012-02-19T06:27:29Z,Type 1 Departments - Major A&E,270.624
2012-02-26T07:23:00Z,Type 1 Departments - Major A&E,283.709
2012-03-04T08:18:30Z,Type 1 Departments - Major A&E,282.295
2012-03-11T09:14:00Z,Type 1 Departments - Major A&E,280.48
2012-03-18T10:08:59Z,Type 1 Departments - Major A&E,282.198
2012-03-25T11:04:30Z,Type 1 Departments - Major A&E,289.792
2012-04-01T12:00:00Z,Type 1 Departments - Major A&E,290.851
2012-04-08T12:55:30Z,Type 1 Departments - Major A&E,270.552
2012-04-15T13:51:01Z,Type 1 Departments - Major A&E,269.266
2012-04-22T14:46:00Z,Type 1 Departments - Major A&E,266.261
2012-04-29T15:41:30Z,Type 1 Departments - Major A&E,263.122
2012-05-06T16:37:00Z,Type 1 Departments - Major A&E,272.178
2012-05-13T17:32:31Z,Type 1 Departments - Major A&E,280.641
2012-05-20T18:27:29Z,Type 1 Departments - Major A&E,276.373
2012-05-27T19:23:00Z,Type 1 Departments - Major A&E,291.878
2012-06-03T20:18:30Z,Type 1 Departments - Major A&E,296.147
2012-06-10T21:14:00Z,Type 1 Departments - Major A&E,282.338
2012-06-17T22:08:59Z,Type 1 Departments - Major A&E,275.902
2012-06-24T23:04:30Z,Type 1 Departments - Major A&E,283.851
2012-07-02T00:00:00Z,Type 1 Departments - Major A&E,295.252
2012-07-09T00:55:30Z,Type 1 Departments - Major A&E,284.468
2012-07-16T01:51:01Z,Type 1 Departments - Major A&E,282.532
2012-07-23T02:46:00Z,Type 1 Departments - Major A&E,279.634
2012-07-30T03:41:30Z,Type 1 Departments - Major A&E,283.929
2012-08-06T04:37:00Z,Type 1 Departments - Major A&E,266.74
2012-08-13T05:32:31Z,Type 1 Departments - Major A&E,268.09
2012-08-20T06:27:29Z,Type 1 Departments - Major A&E,276.793
2012-08-27T07:23:00Z,Type 1 Departments - Major A&E,271.968
2012-09-03T08:18:30Z,Type 1 Departments - Major A&E,266.006
2012-09-10T09:14:00Z,Type 1 Departments - Major A&E,273.52
2012-09-17T10:08:59Z,Type 1 Departments - Major A&E,278.694
2012-09-24T11:04:30Z,Type 1 Departments - Major A&E,273.897
2012-10-01T12:00:00Z,Type 1 Departments - Major A&E,276.248
2012-10-08T12:55:30Z,Type 1 Departments - Major A&E,278.923
2012-10-15T13:51:01Z,Type 1 Departments - Major A&E,276.317
2012-10-22T14:46:00Z,Type 1 Departments - Major A&E,278.68
2012-10-29T15:41:30Z,Type 1 Departments - Major A&E,269.012
2012-11-05T16:37:00Z,Type 1 Departments - Major A&E,260.17
2012-11-12T17:32:31Z,Type 1 Departments - Major A&E,273.634
2012-11-19T18:27:29Z,Type 1 Departments - Major A&E,277.766
2012-11-26T19:23:00Z,Type 1 Departments - Major A&E,275.413
2012-12-03T20:18:30Z,Type 1 Departments - Major A&E,269.397
2012-12-10T21:14:00Z,Type 1 Departments - Major A&E,272.796
2012-12-17T22:08:59Z,Type 1 Departments - Major A&E,275.421
2012-12-24T23:04:30Z,Type 1 Departments - Major A&E,275.155
2013-01-01T00:00:00Z,Type 1 Departments - Major A&E,263.037
2013-01-08T00:27:49Z,Type 1 Departments - Major A&E,270.905
2013-01-15T00:55:38Z,Type 1 Departments - Major A&E,255.06
2013-01-22T01:22:55Z,Type 1 Departments - Major A&E,242.443
2013-01-29T01:50:44Z,Type 1 Departments - Major A&E,260.047
2013-02-05T02:18:33Z,Type 1 Departments - Major A&E,280.145
2013-02-12T02:46:21Z,Type 1 Departments - Major A&E,272.377
2013-02-19T03:13:39Z,Type 1 Departments - Major A&E,270.103
2013-02-26T03:41:27Z,Type 1 Departments - Major A&E,262.922
2013-03-05T04:09:16Z,Type 1 Departments - Major A&E,279.77
2013-03-12T04:37:05Z,Type 1 Departments - Major A&E,284.553
2013-03-19T05:04:22Z,Type 1 Departments - Major A&E,277.827
2013-03-26T05:32:11Z,Type 1 Departments - Major A&E,272.813
2013-04-02T06:00:00Z,Type 1 Departments - Major A&E,271.102
2013-04-09T06:27:49Z,Type 1 Departments - Major A&E,276.618
2013-04-16T06:55:38Z,Type 1 Departments - Major A&E,274.44
2013-04-23T07:22:55Z,Type 1 Departments - Major A&E,285.142
2013-04-30T07:50:44Z,Type 1 Departments - Major A&E,281.612
2013-05-07T08:18:33Z,Type 1 Departments - Major A&E,284.47
2013-05-14T08:46:21Z,Type 1 Departments - Major A&E,287.84
2013-05-21T09:13:39Z,Type 1 Departments - Major A&E,274.144
2013-05-28T09:41:27Z,Type 1 Departments - Major A&E,273.477
2013-06-04T10:09:16Z,Type 1 Departments - Major A&E,267.531
2013-06-11T10:37:05Z,Type 1 Departments - Major A&E,274.663
2013-06-18T11:04:22Z,Type 1 Departments - Major A&E,275.041
2013-06-25T11:32:11Z,Type 1 Departments - Major A&E,284.197
2013-07-02T12:00:00Z,Type 1 Departments - Major A&E,281.014
2013-07-09T12:27:49Z,Type 1 Departments - Major A&E,287.36
2013-07-16T12:55:38Z,Type 1 Departments - Major A&E,296.5
2013-07-23T13:22:55Z,Type 1 Departments - Major A&E,295.791
2013-07-30T13:50:44Z,Type 1 Departments - Major A&E,285.36
2013-08-06T14:18:33Z,Type 1 Departments - Major A&E,272.274
2013-08-13T14:46:21Z,Type 1 Departments - Major A&E,266.98
2013-08-20T15:13:39Z,Type 1 Departments - Major A&E,261.58
2013-08-27T15:41:27Z,Type 1 Departments - Major A&E,268.756
2013-09-03T16:09:16Z,Type 1 Departments - Major A&E,276.232
2013-09-10T16:37:05Z,Type 1 Departments - Major A&E,267.587
2013-09-17T17:04:22Z,Type 1 Departments - Major A&E,258.761
2013-09-24T17:32:11Z,Type 1 Departments - Major A&E,269.769
2013-10-01T18:00:00Z,Type 1 Departments - Major A&E,281.5
2013-10-08T18:27:49Z,Type 1 Departments - Major A&E,276.433
2013-10-15T18:55:38Z,Type 1 Departments - Major A&E,271.969
2013-10-22T19:22:55Z,Type 1 Departments - Major A&E,269.023
2013-10-29T19:50:44Z,Type 1 Departments - Major A&E,275.296
2013-11-05T20:18:33Z,Type 1 Departments - Major A&E,255.549
2013-11-12T20:46:21Z,Type 1 Departments - Major A&E,264.517
2013-11-19T21:13:39Z,Type 1 Departments - Major A&E,266.406
2013-11-26T21:41:27Z,Type 1 Departments - Major A&E,265.953
2013-12-03T22:09:16Z,Type 1 Departments - Major A&E,271.501
2013-12-10T22:37:05Z,Type 1 Departments - Major A&E,273.931
2013-12-17T23:04:22Z,Type 1 Departments - Major A&E,273.068
2013-12-24T23:32:11Z,Type 1 Departments - Major A&E,265.814
2014-01-01T00:00:00Z,Type 1 Departments - Major A&E,247.02
2014-01-08T00:27:49Z,Type 1 Departments - Major A&E,256.873
2014-01-15T00:55:38Z,Type 1 Departments - Major A&E,250.926
2014-01-22T01:22:55Z,Type 1 Departments - Major A&E,256.739
2014-01-29T01:50:44Z,Type 1 Departments - Major A&E,260.565
2014-02-05T02:18:33Z,Type 1 Departments - Major A&E,266.802
2014-02-12T02:46:21Z,Type 1 Departments - Major A&E,273.428
2014-02-19T03:13:39Z,Type 1 Departments - Major A&E,267.564
2014-02-26T03:41:27Z,Type 1 Departments - Major A&E,267.749
2014-03-05T04:09:16Z,Type 1 Departments - Major A&E,279.683
2014-03-12T04:37:05Z,Type 1 Departments - Major A&E,285.649
2014-03-19T05:04:22Z,Type 1 Departments - Major A&E,289.532
2014-03-26T05:32:11Z,Type 1 Departments - Major A&E,291.12
2014-04-02T06:00:00Z,Type 1 Departments - Major A&E,281.399
2014-04-09T06:27:49Z,Type 1 Departments - Major A&E,292.787
2014-04-16T06:55:38Z,Type 1 Departments - Major A&E,277.633
2014-04-23T07:22:55Z,Type 1 Departments - Major A&E,276.715
2014-04-30T07:50:44Z,Type 1 Departments - Major A&E,284.929
2014-05-07T08:18:33Z,Type 1 Departments - Major A&E,286.6
2014-05-14T08:46:21Z,Type 1 Departments - Major A&E,291.999
2014-05-21T09:13:39Z,Type 1 Departments - Major A&E,294.595
2014-05-28T09:41:27Z,Type 1 Departments - Major A&E,296.666
2014-06-04T10:09:16Z,Type 1 Departments - Major A&E,280.352
2014-06-11T10:37:05Z,Type 1 Departments - Major A&E,290.524
2014-06-18T11:04:22Z,Type 1 Departments - Major A&E,297.437
2014-06-25T11:32:11Z,Type 1 Departments - Major A&E,298.955
2014-07-02T12:00:00Z,Type 1 Departments - Major A&E,296.047
2014-07-09T12:27:49Z,Type 1 Departments - Major A&E,295.385
2014-07-16T12:55:38Z,Type 1 Departments - Major A&E,297.242
2014-07-23T13:22:55Z,Type 1 Departments - Major A&E,298.711
2014-07-30T13:50:44Z,Type 1 Departments - Major A&E,293.482
2014-08-06T14:18:33Z,Type 1 Departments - Major A&E,279.941
2014-08-13T14:46:21Z,Type 1 Departments - Major A&E,274.519
2014-08-20T15:13:39Z,Type 1 Departments - Major A&E,262.32
2014-08-27T15:41:27Z,Type 1 Departments - Major A&E,259.929
2014-09-03T16:09:16Z,Type 1 Departments - Major A&E,271.404
2014-09-10T16:37:05Z,Type 1 Departments - Major A&E,278.96
2014-09-17T17:04:22Z,Type 1 Departments - Major A&E,283.233
2014-09-24T17:32:11Z,Type 1 Departments - Major A&E,291.219
2014-10-01T18:00:00Z,Type 1 Departments - Major A&E,286.005
2014-10-08T18:27:49Z,Type 1 Departments - Major A&E,288.276
2014-10-15T18:55:38Z,Type 1 Departments - Major A&E,279.293
2014-10-22T19:22:55Z,Type 1 Departments - Major A&E,287.252
2014-10-29T19:50:44Z,Type 1 Departments - Major A&E,281.392
2014-11-05T20:18:33Z,Type 1 Departments - Major A&E,274.772
2014-11-12T20:46:21Z,Type 1 Departments - Major A&E,275.492
2014-11-19T21:13:39Z,Type 1 Departments - Major A&E,283.727
2014-11-26T21:41:27Z,Type 1 Departments - Major A&E,282.925
2014-12-03T22:09:16Z,Type 1 Departments - Major A&E,284.869
2014-12-10T22:37:05Z,Type 1 Departments - Major A&E,286.577
2014-12-17T23:04:22Z,Type 1 Departments - Major A&E,288.729
2014-12-24T23:32:11Z,Type 1 Departments - Major A&E,289.558
2015-01-01T00:00:00Z,Type 1 Departments - Major A&E,262.888
2015-01-08T00:27:49Z,Type 1 Departments - Major A&E,266.333
2015-01-15T00:55:38Z,Type 1 Departments - Major A&E,249.648
2015-01-22T01:22:55Z,Type 1 Departments - Major A&E,245.85
2015-01-29T01:50:44Z,Type 1 Departments - Major A&E,253.374
2015-02-05T02:18:33Z,Type 1 Departments - Major A&E,260.126
2015-02-12T02:46:21Z,Type 1 Departments - Major A&E,263.251
2015-02-19T03:13:39Z,Type 1 Departments - Major A&E,272.331
2015-02-26T03:41:27Z,Type 1 Departments - Major A&E,262.37
2015-03-05T04:09:16Z,Type 1 Departments - Major A&E,276.892
2015-03-12T04:37:05Z,Type 1 Departments - Major A&E,280.281
2015-03-19T05:04:22Z,Type 1 Departments - Major A&E,278.625
2015-03-26T05:32:11Z,Type 1 Departments - Major A&E,286.565
2015-04-02T06:00:00Z,Type 1 Departments - Major A&E,285.847
2015-04-09T06:27:49Z,Type 1 Departments - Major A&E,282.737
2015-04-16T06:55:38Z,Type 1 Departments - Major A&E,283.444
2015-04-23T07:22:55Z,Type 1 Departments - Major A&E,279.849
2015-04-30T07:50:44Z,Type 1 Departments - Major A&E,281.519
2015-05-07T08:18:33Z,Type 1 Departments - Major A&E,280.608
2015-05-14T08:46:21Z,Type 1 Departments - Major A&E,288.787
2015-05-21T09:13:39Z,Type 1 Departments - Major A&E,286.678
2015-05-28T09:41:27Z,Type 1 Departments - Major A&E,280.605
2015-06-04T10:09:16Z,Type 1 Departments - Major A&E,278.057
2015-06-11T10:37:05Z,Type 1 Departments - Major A&E,284.2
2010-11-05T20:18:33Z,Type 2 Departments - Single Specialty,12.806
2010-11-12T20:46:21Z,Type 2 Departments - Single Specialty,13.135
2010-11-19T21:13:39Z,Type 2 Departments - Single Specialty,12.751
2010-11-26T21:41:27Z,Type 2 Departments - Single Specialty,12.126
2010-12-03T22:09:16Z,Type 2 Departments - Single Specialty,10.183
2010-12-10T22:37:05Z,Type 2 Departments - Single Specialty,11.417
2010-12-17T23:04:22Z,Type 2 Departments - Single Specialty,11.422
2010-12-24T23:32:11Z,Type 2 Departments - Single Specialty,9.216
2011-01-01T00:00:00Z,Type 2 Departments - Single Specialty,8.691
2011-01-08T00:27:49Z,Type 2 Departments - Single Specialty,10.527
2011-01-15T00:55:38Z,Type 2 Departments - Single Specialty,12.089
2011-01-22T01:22:55Z,Type 2 Departments - Single Specialty,12.19
2011-01-29T01:50:44Z,Type 2 Departments - Single Specialty,12.502
2011-02-05T02:18:33Z,Type 2 Departments - Single Specialty,12.556
2011-02-12T02:46:21Z,Type 2 Departments - Single Specialty,13.05
2011-02-19T03:13:39Z,Type 2 Departments - Single Specialty,12.818
2011-02-26T03:41:27Z,Type 2 Departments - Single Specialty,12.778
2011-03-05T04:09:16Z,Type 2 Departments - Single Specialty,12.887
2011-03-12T04:37:05Z,Type 2 Departments - Single Specialty,13.011
2011-03-19T05:04:22Z,Type 2 Departments - Single Specialty,13.204
2011-03-26T05:32:11Z,Type 2 Departments - Single Specialty,13.116
2011-04-02T06:00:00Z,Type 2 Departments - Single Specialty,13.166
2011-04-09T06:27:49Z,Type 2 Departments - Single Specialty,12.906
2011-04-16T06:55:38Z,Type 2 Departments - Single Specialty,12.458
2011-04-23T07:22:55Z,Type 2 Departments - Single Specialty,13.429
2011-04-30T07:50:44Z,Type 2 Departments - Single Specialty,11.208
2011-05-07T08:18:33Z,Type 2 Departments - Single Specialty,12.336
2011-05-14T08:46:21Z,Type 2 Departments - Single Specialty,13.16
2011-05-21T09:13:39Z,Type 2 Departments - Single Specialty,13.264
2011-05-28T09:41:27Z,Type 2 Departments - Single Specialty,13.371
2011-06-04T10:09:16Z,Type 2 Departments - Single Specialty,11.672
2011-06-11T10:37:05Z,Type 2 Departments - Single Specialty,13.257
2011-06-18T11:04:22Z,Type 2 Departments - Single Specialty,13.036
2011-06-25T11:32:11Z,Type 2 Departments - Single Specialty,12.831
2011-07-02T12:00:00Z,Type 2 Departments - Single Specialty,12.737
2011-07-09T12:27:49Z,Type 2 Departments - Single Specialty,12.852
2011-07-16T12:55:38Z,Type 2 Departments - Single Specialty,12.918
2011-07-23T13:22:55Z,Type 2 Departments - Single Specialty,12.576
2011-07-30T13:50:44Z,Type 2 Departments - Single Specialty,12.399
2011-08-06T14:18:33Z,Type 2 Departments - Single Specialty,11.654
2011-08-13T14:46:21Z,Type 2 Departments - Single Specialty,11.562
2011-08-20T15:13:39Z,Type 2 Departments - Single Specialty,12.032
2011-08-27T15:41:27Z,Type 2 Departments - Single Specialty,11.928
2011-09-03T16:09:16Z,Type 2 Departments - Single Specialty,11
2011-09-10T16:37:05Z,Type 2 Departments - Single Specialty,12.191
2011-09-17T17:04:22Z,Type 2 Departments - Single Specialty,12.614
2011-09-24T17:32:11Z,Type 2 Departments - Single Specialty,12.66
2011-10-01T18:00:00Z,Type 2 Departments - Single Specialty,12.01
2011-10-08T18:27:49Z,Type 2 Departments - Single Specialty,12.549
2011-10-15T18:55:38Z,Type 2 Departments - Single Specialty,12.572
2011-10-22T19:22:55Z,Type 2 Departments - Single Specialty,12.271
2011-10-29T19:50:44Z,Type 2 Departments - Single Specialty,11.846
2011-11-05T20:18:33Z,Type 2 Departments - Single Specialty,12.445
2011-11-12T20:46:21Z,Type 2 Departments - Single Specialty,12.254
2011-11-19T21:13:39Z,Type 2 Departments - Single Specialty,11.984
2011-11-26T21:41:27Z,Type 2 Departments - Single Specialty,11.928
2011-12-03T22:09:16Z,Type 2 Departments - Single Specialty,11.525
2011-12-10T22:37:05Z,Type 2 Departments - Single Specialty,11.449
2011-12-17T23:04:22Z,Type 2 Departments - Single Specialty,11.4
2011-12-24T23:32:11Z,Type 2 Departments - Single Specialty,10.577
2012-01-01T00:00:00Z,Type 2 Departments - Single Specialty,9.274
2012-01-08T00:55:30Z,Type 2 Departments - Single Specialty,10.901
2012-01-15T01:51:01Z,Type 2 Departments - Single Specialty,11.845
2012-01-22T02:46:00Z,Type 2 Departments - Single Specialty,12.045
2012-01-29T03:41:30Z,Type 2 Departments - Single Specialty,12.073
2012-02-05T04:37:00Z,Type 2 Departments - Single Specialty,11.964
2012-02-12T05:32:31Z,Type 2 Departments - Single Specialty,11.489
2012-02-19T06:27:29Z,Type 2 Departments - Single Specialty,12.377
2012-02-26T07:23:00Z,Type 2 Departments - Single Specialty,13.076
2012-03-04T08:18:30Z,Type 2 Departments - Single Specialty,13.225
2012-03-11T09:14:00Z,Type 2 Departments - Single Specialty,13.237
2012-03-18T10:08:59Z,Type 2 Departments - Single Specialty,13.187
2012-03-25T11:04:30Z,Type 2 Departments - Single Specialty,13.5
2012-04-01T12:00:00Z,Type 2 Departments - Single Specialty,12.942
2012-04-08T12:55:30Z,Type 2 Departments - Single Specialty,11.231
2012-04-15T13:51:01Z,Type 2 Departments - Single Specialty,11.496
2012-04-22T14:46:00Z,Type 2 Departments - Single Specialty,12.782
2012-04-29T15:41:30Z,Type 2 Departments - Single Specialty,12.466
2012-05-06T16:37:00Z,Type 2 Departments - Single Specialty,13.058
2012-05-13T17:32:31Z,Type 2 Departments - Single Specialty,12.105
2012-05-20T18:27:29Z,Type 2 Departments - Single Specialty,13.113
2012-05-27T19:23:00Z,Type 2 Departments - Single Specialty,12.509
2012-06-03T20:18:30Z,Type 2 Departments - Single Specialty,13.12
2012-06-10T21:14:00Z,Type 2 Departments - Single Specialty,11.11
2012-06-17T22:08:59Z,Type 2 Departments - Single Specialty,12.882
2012-06-24T23:04:30Z,Type 2 Departments - Single Specialty,13.159
2012-07-02T00:00:00Z,Type 2 Departments - Single Specialty,13.047
2012-07-09T00:55:30Z,Type 2 Departments - Single Specialty,12.772
2012-07-16T01:51:01Z,Type 2 Departments - Single Specialty,12.722
2012-07-23T02:46:00Z,Type 2 Departments - Single Specialty,12.507
2012-07-30T03:41:30Z,Type 2 Departments - Single Specialty,12.017
2012-08-06T04:37:00Z,Type 2 Departments - Single Specialty,12.285
2012-08-13T05:32:31Z,Type 2 Departments - Single Specialty,11.893
2012-08-20T06:27:29Z,Type 2 Departments - Single Specialty,12.053
2012-08-27T07:23:00Z,Type 2 Departments - Single Specialty,12.231
2012-09-03T08:18:30Z,Type 2 Departments - Single Specialty,11.134
2012-09-10T09:14:00Z,Type 2 Departments - Single Specialty,12.122
2012-09-17T10:08:59Z,Type 2 Departments - Single Specialty,12.159
2012-09-24T11:04:30Z,Type 2 Departments - Single Specialty,12.165
2012-10-01T12:00:00Z,Type 2 Departments - Single Specialty,11.899
2012-10-08T12:55:30Z,Type 2 Departments - Single Specialty,12.031
2012-10-15T13:51:01Z,Type 2 Departments - Single Specialty,12.041
2012-10-22T14:46:00Z,Type 2 Departments - Single Specialty,12.271
2012-10-29T15:41:30Z,Type 2 Departments - Single Specialty,11.908
2012-11-05T16:37:00Z,Type 2 Departments - Single Specialty,12.068
2012-11-12T17:32:31Z,Type 2 Departments - Single Specialty,12.228
2012-11-19T18:27:29Z,Type 2 Departments - Single Specialty,12.239
2012-11-26T19:23:00Z,Type 2 Departments - Single Specialty,11.961
2012-12-03T20:18:30Z,Type 2 Departments - Single Specialty,11.873
2012-12-10T21:14:00Z,Type 2 Departments - Single Specialty,11.202
2012-12-17T22:08:59Z,Type 2 Departments - Single Specialty,11.379
2012-12-24T23:04:30Z,Type 2 Departments - Single Specialty,11.738
2013-01-01T00:00:00Z,Type 2 Departments - Single Specialty,8.375
2013-01-08T00:27:49Z,Type 2 Departments - Single Specialty,10.27
2013-01-15T00:55:38Z,Type 2 Departments - Single Specialty,11.953
2013-01-22T01:22:55Z,Type 2 Departments - Single Specialty,10.466
2013-01-29T01:50:44Z,Type 2 Departments - Single Specialty,11.228
2013-02-05T02:18:33Z,Type 2 Departments - Single Specialty,12.37
2013-02-12T02:46:21Z,Type 2 Departments - Single Specialty,12.471
2013-02-19T03:13:39Z,Type 2 Departments - Single Specialty,12.033
2013-02-26T03:41:27Z,Type 2 Departments - Single Specialty,12.185
2013-03-05T04:09:16Z,Type 2 Departments - Single Specialty,12.215
2013-03-12T04:37:05Z,Type 2 Departments - Single Specialty,12.326
2013-03-19T05:04:22Z,Type 2 Departments - Single Specialty,12.519
2013-03-26T05:32:11Z,Type 2 Departments - Single Specialty,12.52
2013-04-02T06:00:00Z,Type 2 Departments - Single Specialty,11.619
2013-04-09T06:27:49Z,Type 2 Departments - Single Specialty,11.564
2013-04-16T06:55:38Z,Type 2 Departments - Single Specialty,12.64
2013-04-23T07:22:55Z,Type 2 Departments - Single Specialty,13.14
2013-04-30T07:50:44Z,Type 2 Departments - Single Specialty,13.19
2013-05-07T08:18:33Z,Type 2 Departments - Single Specialty,13.202
2013-05-14T08:46:21Z,Type 2 Departments - Single Specialty,12.01
2013-05-21T09:13:39Z,Type 2 Departments - Single Specialty,12.571
2013-05-28T09:41:27Z,Type 2 Departments - Single Specialty,12.669
2013-06-04T10:09:16Z,Type 2 Departments - Single Specialty,11.268
2013-06-11T10:37:05Z,Type 2 Departments - Single Specialty,12.49
2013-06-18T11:04:22Z,Type 2 Departments - Single Specialty,12.76
2013-06-25T11:32:11Z,Type 2 Departments - Single Specialty,13.128
2013-07-02T12:00:00Z,Type 2 Departments - Single Specialty,12.992
2013-07-09T12:27:49Z,Type 2 Departments - Single Specialty,12.947
2013-07-16T12:55:38Z,Type 2 Departments - Single Specialty,12.535
2013-07-23T13:22:55Z,Type 2 Departments - Single Specialty,12.208
2013-07-30T13:50:44Z,Type 2 Departments - Single Specialty,12.536
2013-08-06T14:18:33Z,Type 2 Departments - Single Specialty,12.39
2013-08-13T14:46:21Z,Type 2 Departments - Single Specialty,12.267
2013-08-20T15:13:39Z,Type 2 Departments - Single Specialty,11.984
2013-08-27T15:41:27Z,Type 2 Departments - Single Specialty,12.261
2013-09-03T16:09:16Z,Type 2 Departments - Single Specialty,11.255
2013-09-10T16:37:05Z,Type 2 Departments - Single Specialty,12.086
2013-09-17T17:04:22Z,Type 2 Departments - Single Specialty,11.975
2013-09-24T17:32:11Z,Type 2 Departments - Single Specialty,12.412
2013-10-01T18:00:00Z,Type 2 Departments - Single Specialty,12.483
2013-10-08T18:27:49Z,Type 2 Departments - Single Specialty,12.234
2013-10-15T18:55:38Z,Type 2 Departments - Single Specialty,11.825
2013-10-22T19:22:55Z,Type 2 Departments - Single Specialty,11.888
2013-10-29T19:50:44Z,Type 2 Departments - Single Specialty,11.866
2013-11-05T20:18:33Z,Type 2 Departments - Single Specialty,11.62
2013-11-12T20:46:21Z,Type 2 Departments - Single Specialty,11.927
2013-11-19T21:13:39Z,Type 2 Departments - Single Specialty,11.929
2013-11-26T21:41:27Z,Type 2 Departments - Single Specialty,11.772
2013-12-03T22:09:16Z,Type 2 Departments - Single Specialty,11.693
2013-12-10T22:37:05Z,Type 2 Departments - Single Specialty,11.697
2013-12-17T23:04:22Z,Type 2 Departments - Single Specialty,11.569
2013-12-24T23:32:11Z,Type 2 Departments - Single Specialty,11.612
2014-01-01T00:00:00Z,Type 2 Departments - Single Specialty,8.401
2014-01-08T00:27:49Z,Type 2 Departments - Single Specialty,10.007
